clocks, time
7812843, 0.003560
8092480, 0.003687
6512090, 0.002967
6061184, 0.002762
8105770, 0.003692
7885028, 0.003592
7178736, 0.003270
6468228, 0.002947
6351006, 0.002893
6712378, 0.003058
6419856, 0.002924
6611032, 0.003012
6305208, 0.002873
6834414, 0.003113
8659002, 0.003945
7355252, 0.003351
7442434, 0.003391
7548150, 0.003439
7354772, 0.003351
7409634, 0.003376
6303572, 0.002872
6242530, 0.002844
6240692, 0.002843
6413750, 0.002922
6553396, 0.002986
6562610, 0.002990
7086688, 0.003229
6401858, 0.002917
6297264, 0.002869
6342348, 0.002889
6680420, 0.003044
7434278, 0.003387
6532262, 0.002976
6058576, 0.002761
6157068, 0.002806
8858482, 0.004036
10173259, 0.004635
8317375, 0.003790
7473183, 0.003405
6844543, 0.003119
9107689, 0.004149
10043927, 0.004576
8214685, 0.003742
7091507, 0.003230
6128302, 0.002792
6450782, 0.002938
6157674, 0.002805
6060170, 0.002761
6313548, 0.002876
6068176, 0.002765
6115800, 0.002786
6182058, 0.002817
6070752, 0.002766
6466960, 0.002946
6163842, 0.002809
6067780, 0.002765
6202506, 0.002826
6191988, 0.002821
6064960, 0.002763
6079320, 0.002770
6286362, 0.002864
9006416, 0.004103
7168893, 0.003266
10792226, 0.004916
8598489, 0.003917
7358915, 0.003352
6275092, 0.002858
6520148, 0.002971
6416106, 0.002923
7911952, 0.003605
7375736, 0.003360
6865476, 0.003128
6064270, 0.002763
6065440, 0.002763
6067820, 0.002765
6703738, 0.003054
6915328, 0.003150
7107370, 0.003238
7317662, 0.003334
6426264, 0.002927
6642338, 0.003027
7912920, 0.003605
7799140, 0.003553
6856053, 0.003123
6062476, 0.002762
6062310, 0.002762
10257241, 0.004673
9393751, 0.004280
8109161, 0.003694
6989505, 0.003184
9374896, 0.004271
10514750, 0.004790
8995669, 0.004098
7652258, 0.003486
7294610, 0.003324
7847818, 0.003576
6327380, 0.002882
6309520, 0.002874
6242714, 0.002845
6327246, 0.002882
9373386, 0.004270
9388895, 0.004277
7994666, 0.003642
6929256, 0.003157
6376694, 0.002905
6637766, 0.003024
7406708, 0.003375
7673939, 0.003496
7829414, 0.003567
7308652, 0.003330
6495048, 0.002959
6310606, 0.002875
6090164, 0.002775
6163126, 0.002808
6064726, 0.002763
10647776, 0.004851
9251667, 0.004215
7896479, 0.003597
6795909, 0.003096
6208368, 0.002828
6065598, 0.002763
6206958, 0.002828
6060750, 0.002761
7332870, 0.003341
11156377, 0.005083
8645443, 0.003939
7413806, 0.003378
6556600, 0.002987
6138728, 0.002797
6167284, 0.002809
6435962, 0.002933
6522184, 0.002971
6170348, 0.002811
6063298, 0.002763
6192774, 0.002821
8695080, 0.003961
10292601, 0.004690
8423135, 0.003837
7155465, 0.003260
6648761, 0.003030
11200449, 0.005102
8822200, 0.004019
7625033, 0.003474
6864162, 0.003127
6329878, 0.002884
6061254, 0.002762
6060582, 0.002761
6065448, 0.002763
6060144, 0.002761
6607488, 0.003010
6063032, 0.002762
8621902, 0.003928
8284311, 0.003774
7134164, 0.003250
6146902, 0.002800
6280966, 0.002862
6871658, 0.003131
6059872, 0.002761
6060066, 0.002761
6444134, 0.002936
6161002, 0.002807
6059874, 0.002761
6060260, 0.002761
6372262, 0.002903
6059984, 0.002761
6060266, 0.002761
6167010, 0.002810
6481242, 0.002953
6853822, 0.003122
6485444, 0.002955
6853364, 0.003122
6748228, 0.003074
6821896, 0.003108
6823472, 0.003109
7784638, 0.003547
6229962, 0.002838
6242376, 0.002844
6309284, 0.002875
6258556, 0.002851
6059634, 0.002761
6149496, 0.002801
6062384, 0.002762
6258924, 0.002852
6390706, 0.002912
6804586, 0.003100
6065362, 0.002763
6217098, 0.002833
6064782, 0.002763
6067652, 0.002764
6168944, 0.002810
6065544, 0.002764
6511472, 0.002966
6230916, 0.002839
6163038, 0.002808
6066200, 0.002763
6232316, 0.002839
6067938, 0.002765
6065660, 0.002763
6167736, 0.002810
6467870, 0.002946
6066834, 0.002764
6169674, 0.002811
6065606, 0.002763
6162334, 0.002808
6068168, 0.002764
6065206, 0.002763
6064782, 0.002763
6594190, 0.003004
6168134, 0.002810
6112796, 0.002785
6112864, 0.002785
6067154, 0.002764
6064610, 0.002763
6144342, 0.002799
6066258, 0.002764
6260418, 0.002852
6229492, 0.002838
6062018, 0.002762
6122024, 0.002789
10538262, 0.004801
9212989, 0.004197
7907885, 0.003603
7049719, 0.003212
6160406, 0.002806
6060576, 0.002761
6186292, 0.002818
6065304, 0.002763
6155064, 0.002804
6060102, 0.002761
6161820, 0.002807
6339134, 0.002888
6181094, 0.002816
6156578, 0.002805
6063616, 0.002762
6060178, 0.002761
6412502, 0.002922
6062030, 0.002762
6058296, 0.002760
6058166, 0.002760
6573856, 0.002995
7828392, 0.003567
8652173, 0.003942
7390577, 0.003368
6270652, 0.002857
6157886, 0.002805
6067518, 0.002764
6499052, 0.002961
6062128, 0.002762
6278414, 0.002860
6107172, 0.002783
6060236, 0.002761
6273454, 0.002858
6213714, 0.002831
6062396, 0.002762
10092020, 0.004597
7672812, 0.003496
6955618, 0.003169
7326820, 0.003338
7040452, 0.003208
6243120, 0.002845
6418940, 0.002924
6556096, 0.002987
6324844, 0.002881
6248408, 0.002847
6077438, 0.002769
6261758, 0.002853
6122436, 0.002789
6062790, 0.002762
6163888, 0.002808
6444022, 0.002936
6094416, 0.002776
6103622, 0.002781
6058266, 0.002760
6111446, 0.002784
6306822, 0.002873
6155306, 0.002805
6185538, 0.002818
6323364, 0.002880
6263534, 0.002854
6058328, 0.002761
6157306, 0.002806
6061710, 0.002762
6058190, 0.002760
6057982, 0.002760
6061170, 0.002761
6058352, 0.002760
7353296, 0.003350
8575708, 0.003907
8530827, 0.003887
7258912, 0.003307
6232100, 0.002840
6164048, 0.002808
6063424, 0.002762
6457266, 0.002942
6297384, 0.002869
6118452, 0.002787
6060022, 0.002761
6159694, 0.002806
6059608, 0.002761
6063326, 0.002762
6155796, 0.002805
6460880, 0.002944
6085826, 0.002772
6261376, 0.002853
